Evoked Response
seconds	EEG	Trigger
86.728	-0.00348919818499655	-0.00353362242631805
86.73	-0.00217470682934821	-0.00446604218660275
86.732	-0.00119028072735537	-0.00451119766574638
86.734	-0.00065817660228106	-0.00379464989731578
86.736	-0.00061541912753443	-0.00255743222691343
86.738	-0.00102008649878499	-0.00109589589347713
86.74	-0.00176986688607811	0.00029923854475918
86.742	-0.00272631262616823	0.00139364099041646
86.744	-0.00373974724598134	0.00204239060830116
86.746	-0.00467154390228488	0.00220202284218107
86.748	-0.00541167710694255	0.00192263675581754
86.75	-0.0058899460512557	0.00132449689799531
86.752	-0.00607969384384966	0.000565650406662716
86.754	-0.00599407657072267	-0.000192281308818006
86.756	-0.00567673818282349	-0.000813698419050502
