Evoked Response
seconds	EEG
18.451	-4.68608
18.453	-4.68832
18.455	-4.688
18.457	-4.6864
18.459	-4.688
18.461	-4.68672
18.463	-4.69024
18.465	-4.68896
18.467	-4.68832
18.469	-4.69024
18.471	-4.68512
18.473	-4.68288
18.475	-4.68768
18.477	-4.68864
18.479	-4.68704
18.48	-4.68672
18.482	-4.68864
18.484	-4.68864
18.486	-4.68832
18.488	-4.68768
18.49	-4.688
18.492	-4.68864
18.494	-4.68736
18.496	-4.68736
18.498	-4.69056
18.5	-4.68832
18.502	-4.68768
18.504	-4.68896
18.506	-4.6896
18.508	-4.69024
18.51	-4.68832
18.512	-4.68512
18.514	-4.68704
18.516	-4.68832
18.518	-4.68992
18.52	-4.68576
18.521	-4.68512
18.523	-4.68768
18.525	-4.68768
18.527	-4.6912
18.529	-4.69248
18.531	-4.688
18.533	-4.68512
18.535	-4.68608
18.537	-4.68384
18.539	-4.68736
18.541	-4.68992
18.543	-4.68768
18.545	-4.688
18.547	-4.68928
18.549	-4.6896
18.551	-4.6864
18.553	-4.68768
18.555	-4.688
18.557	-4.68448
18.559	-4.68544
18.561	-4.68736
18.563	-4.68992
18.564	-4.6944
18.566	-4.69376
18.568	-4.69056
18.57	-4.69376
18.572	-4.6928
18.574	-4.69216
18.576	-4.69152
18.578	-4.69024
18.58	-4.68896
18.582	-4.69152
18.584	-4.69312
18.586	-4.69248
18.588	-4.6896
18.59	-4.68576
18.592	-4.6832
18.594	-4.68992
18.596	-4.68864
18.598	-4.68992
18.6	-4.68992
18.602	-4.69312
18.604	-4.68576
18.605	-4.68992
18.607	-4.69088
18.609	-4.68832
18.611	-4.6848
18.613	-4.68992
18.615	-4.69024
18.617	-4.68928
18.619	-4.688
18.621	-4.68928
18.623	-4.68832
18.625	-4.68832
18.627	-4.69088
18.629	-4.68928
18.631	-4.68832
18.633	-4.68864
18.635	-4.68832
18.637	-4.69024
18.639	-4.68864
18.641	-4.68512
18.643	-4.68672
18.645	-4.68608
18.646	-4.68672
18.648	-4.68928
18.65	-4.68544
18.652	-4.68448
18.654	-4.68672
18.656	-4.68704
18.658	-4.6832
18.66	-4.6832
18.662	-4.6848
18.664	-4.68544
18.666	-4.68416
18.668	-4.68608
18.67	-4.6848
18.672	-4.6832
18.674	-4.6848
18.676	-4.68416
18.678	-4.68128
18.68	-4.68192
18.682	-4.68448
18.684	-4.68096
18.686	-4.68352
18.688	-4.68448
18.689	-4.6864
18.691	-4.68128
18.693	-4.68192
18.695	-4.6816
18.697	-4.68224
18.699	-4.68032
18.701	-4.68256
18.703	-4.6816
18.705	-4.6832
18.707	-4.68448
18.709	-4.68192
18.711	-4.68256
18.713	-4.68064
18.715	-4.67904
18.717	-4.68256
18.719	-4.68096
18.721	-4.6848
18.723	-4.68416
18.725	-4.68224
18.727	-4.68288
18.729	-4.68704
18.73	-4.68704
18.732	-4.68832
18.734	-4.68608
18.736	-4.68608
18.738	-4.68832
18.74	-4.68832
18.742	-4.69056
18.744	-4.6912
18.746	-4.69184
18.748	-4.68992
18.75	-4.68576
18.752	-4.68448
18.754	-4.68224
18.756	-4.6816
